intended_ms,actual_ms,type,label
1000,1014,IMAGE_ONSET,Mu04.png
1500,1515,IMAGE_OFFSET,Mu04.png
2000,2015,IMAGE_ONSET,face01.png
2500,2516,IMAGE_OFFSET,face01.png
3000,3015,TEXT_ONSET,Hello !
3500,3516,TEXT_OFFSET,Hello !
4000,4017,IMAGE_ONSET,body03.png
4500,4532,IMAGE_OFFSET,body03.png
5000,4997,SOUND_ONSET,sound02.wav
6000,6015,IMAGE_ONSET,house03.png
6500,6517,IMAGE_OFFSET,house03.png
7000,7015,IMAGE_ONSET,face12.png
7500,7515,IMAGE_OFFSET,face12.png
8000,8015,IMAGE_ONSET,Mu01.png
8500,8528,IMAGE_OFFSET,Mu01.png
9000,9016,IMAGE_ONSET,Mu03.png
9500,9531,IMAGE_OFFSET,Mu03.png
10000,10016,IMAGE_ONSET,geo06.png
10500,10517,IMAGE_OFFSET,geo06.png
11000,11021,IMAGE_ONSET,wordC03.png
11500,11531,IMAGE_OFFSET,wordC03.png
12000,12014,IMAGE_ONSET,body04.png
12500,12515,IMAGE_OFFSET,body04.png
13000,13015,IMAGE_ONSET,wordC02.png
13500,13516,IMAGE_OFFSET,wordC02.png
14000,14016,IMAGE_ONSET,geo02.png
14500,14516,IMAGE_OFFSET,geo02.png
15000,15016,IMAGE_ONSET,geo04.png
15500,15532,IMAGE_OFFSET,geo04.png
16000,16016,IMAGE_ONSET,number01.png
16500,16516,IMAGE_OFFSET,number01.png
17000,17015,IMAGE_ONSET,number03.png
17500,17515,IMAGE_OFFSET,number03.png
18000,18015,IMAGE_ONSET,wordC05.png
18500,18515,IMAGE_OFFSET,wordC05.png
19000,19015,IMAGE_ONSET,Mu02.png
19500,19515,IMAGE_OFFSET,Mu02.png
20000,20015,IMAGE_ONSET,eq03.png
20500,20516,IMAGE_OFFSET,eq03.png
21000,21017,IMAGE_ONSET,tool10.png
21500,21533,IMAGE_OFFSET,tool10.png
22000,22015,IMAGE_ONSET,graph02.png
22500,22515,IMAGE_OFFSET,graph02.png
23000,23018,IMAGE_ONSET,house01.png
23500,23532,IMAGE_OFFSET,house01.png
24000,24018,IMAGE_ONSET,tool14.png
24500,24534,IMAGE_OFFSET,tool14.png
25000,25017,IMAGE_ONSET,tool13.png
25500,25532,IMAGE_OFFSET,tool13.png
26000,26017,IMAGE_ONSET,graph01.png
26500,26532,IMAGE_OFFSET,graph01.png
27000,27017,IMAGE_ONSET,wordEF02.png
27500,27518,IMAGE_OFFSET,wordEF02.png
28000,28017,IMAGE_ONSET,eq04.png
28500,28533,IMAGE_OFFSET,eq04.png
29000,29017,IMAGE_ONSET,stimblank.png
29500,29533,IMAGE_OFFSET,stimblank.png
30000,30016,IMAGE_ONSET,wordEF03.png
30500,30531,IMAGE_OFFSET,wordEF03.png
31000,31014,IMAGE_ONSET,Star.png
31500,31517,IMAGE_OFFSET,Star.png
32000,32016,IMAGE_ONSET,body01.png
32500,32532,IMAGE_OFFSET,body01.png
33000,33018,IMAGE_ONSET,wordEF04.png
33500,33519,IMAGE_OFFSET,wordEF04.png
34000,34016,IMAGE_ONSET,graph08.png
34500,34517,IMAGE_OFFSET,graph08.png
35000,35017,IMAGE_ONSET,face02.png
35500,35532,IMAGE_OFFSET,face02.png
36000,36016,IMAGE_ONSET,house02.png
36500,36517,IMAGE_OFFSET,house02.png
37000,37019,IMAGE_ONSET,wordC04.png
37500,37534,IMAGE_OFFSET,wordC04.png
38000,38016,IMAGE_ONSET,house04.png
38500,38520,IMAGE_OFFSET,house04.png
39000,39016,IMAGE_ONSET,geo09.png
39500,39516,IMAGE_OFFSET,geo09.png
40000,40016,IMAGE_ONSET,number02.png
40500,40516,IMAGE_OFFSET,number02.png
41000,41017,IMAGE_ONSET,eq02.png
41500,41519,IMAGE_OFFSET,eq02.png
42000,42018,IMAGE_ONSET,body02.png
42500,42533,IMAGE_OFFSET,body02.png
43000,43017,IMAGE_ONSET,wordEF05.png
43500,43517,IMAGE_OFFSET,wordEF05.png
44000,44017,IMAGE_ONSET,tool11.png
44500,44533,IMAGE_OFFSET,tool11.png
45000,45018,IMAGE_ONSET,eq01.png
45500,45521,IMAGE_OFFSET,eq01.png
46000,46018,IMAGE_ONSET,graph07.png
46500,46535,IMAGE_OFFSET,graph07.png
47000,47017,IMAGE_ONSET,face13.png
47500,47517,IMAGE_OFFSET,face13.png
48000,48002,SOUND_ONSET,sound01.wav
